num_conv_layers,dropout_rate,batch_size,test_acc,training_time
2,0.25,64,87.7,27.106234073638916
3,0.25,64,84.58,30.732282161712646
2,0.25,64,87.49,26.06364417076111
2,0.5,64,86.51,26.126991987228394
2,0.75,64,86.64,26.10777497291565
2,0.25,32,88.3,28.39361000061035
2,0.25,64,88.25,26.280365705490112
2,0.25,128,86.41,24.68787693977356
2,0.25,64,88.05,26.776174068450928
3,0.25,64,83.93,30.43204402923584
2,0.25,64,86.78,26.690598011016846
2,0.5,64,87.39,26.618799924850464
2,0.75,64,86.3,26.80920386314392
2,0.25,32,89.13,28.743621826171875
2,0.25,64,88.14,28.704822063446045
2,0.25,128,86.38,28.485081911087036
2,0.25,32,88.82,33.88031482696533
3,0.25,32,84.87,38.856391191482544
3,0.25,32,84.11,39.260392904281616
3,0.5,32,83.82,39.19490694999695
3,0.75,32,59.66,39.202399015426636
3,0.25,32,83.39,39.15451979637146
3,0.25,64,84.3,35.254236936569214
3,0.25,128,82.23,33.183488845825195
